1001,"AL","Autauga County",58805,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
1003,"AL","Baldwin County",231767,3,"Metro - Counties in metro areas of fewer than 250,000 population"
1005,"AL","Barbour County",25223,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
1007,"AL","Bibb County",22293,1,"Metro - Counties in metro areas of 1 million population or more"
1009,"AL","Blount County",59134,1,"Metro - Counties in metro areas of 1 million population or more"
1011,"AL","Bullock County",10357,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
1013,"AL","Butler County",19051,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
1015,"AL","Calhoun County",116441,3,"Metro - Counties in metro areas of fewer than 250,000 population"
1017,"AL","Chambers County",34772,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
1019,"AL","Cherokee County",24971,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
